,Arithmetic Return,Standard Deviation
Australian Shares,0.0880424,0.17
International Shares (50% Hedged),0.081596,0.12
REITs,0.0830998,0.17
Global Infrastructure,0.0777558,0.13
Alternatives,0.0619836,0.065
Australian Bonds,0.0384736,0.045
International Bonds,0.0438178,0.0525
Inflation Linked Bonds,0.0423426,0.07
Cash,0.0325757,0.0125
